,title,description,source,job-id,ar-chars
0,مسؤول الشراكات التقنية,إنشاء وتنمية العلاقات مع أصحاب المصلحة في منشآت القطاع التقنيالمساهمة في نجاح الشركاء من خلال إحالة العملاء والفرص البيعيةإدارة علاقات الشركاء والطلبات المرتبطة بالمشاريعالعمل عن كثب مع إدارة المنتج لتسهيل عمليات التحليل والربط والتعليب لطرح المنتج جنبًا إلى جنب مع منتجات الشركاء كحل متكامل للذهاب إلى السوق معًاالعمل عن كثب مع فريق النمو لتطوير فرص التسويق والانتشار مع شركائناالمشاركة في الأحداث والمعارض ذات العلاقة لعرض وتعزيز قيمة الشراكات,bayt,4485662,True
1,مسؤول مبيعات الشركاء,الترويج لحلول الأعمال المتطورة (أنظمة تخطيط موارد المؤسسات ERP، التطبيقات المالية Fintech، أنظمة إدارة علاقات العملاء CRM، برامج شؤون الموظفين والموارد البشرية، نقاط البيع، تطبيقات الهاتف المحمول) وتوليد فرص بيعيه مؤهلة للحلول المذكورة عن طريق (الاتصالات الهاتفية، البريد الإلكتروني، الزيارات الميدانية)المساهمة في إنشاء شبكة قوية واتصالات مع الموزعين وبناء علاقات جيدة معهمالمساهمة في إنشاء الصفقات عبر الموزعين المعتمدينفهم تحديات العميل واحتياجاتهاقتراح الحل مع المستشارين الآخرين في الشركةتقديم الحل المقترح للعميل من خلال التقنيات والأدوات المتاحةتنفيذ الإجراءات المذكورة أعلاه ضمن أهداف شهرية / ربع سنوية ، مقاسة بنوعية وكمية الاشتراكات الجديدة وعدد الاتفاقيات الموقعة مع الموزعينتحديث جميع بيانات التواصل من خلال نظام إدارة علاقات العملاء والموزعين CRM المستخدم في الشركة,bayt,4485659,True
2,شيف تنفيذي,حن نتطلع إلى توظيف شيف تنفيذي جدير بالثناء لإدارة طاقم المطبخ لدينا وحل مشكلات المطبخ بسرعة. يجذب الشيف التنفيذي الموظفين ويحتفظ بهم ، ويحافظ على علاقة تعاونية مع أعضاء الفريق ، ويحسن إنتاجية الموظفين ويعمل كبديل في غياب أعضاء الفريق. ستقوم بتدريب الموظفين على استخدام الوصفات الجديدة ، وتقنيات ومعدات الطهي ، والإشراف على الطهاة الذين يقومون بإعداد الطعام. سوف تشرف على تسليم الإمدادات الغذائية ، وإعداد أطباق خاصة مبتكرة والإشراف على تشغيل المطبخ بشكل عام,bayt,4485641,True
14,فني إلكترونيات وشكبات,القيام بالإجراءات الاولية لصيانة .إجراء الإصلاحات البسيطة للمعدات والأجهزة والادوات المختلفة.التحقق من لوحات التحكم والأسلاك الكهربائية لتحديد المشكلات.تجهيز وتثبيت الأجهزة والمعدات المختلفة.ترتيب وتنظيف مكان العمل بعد اجراء الصيانة.إجراء مهام الصيانة ومباشرة البلاغات.فحص المعدات والأنظمة واستكشافها ..التعاون مع العمال وغيرهم من المهنيين أثناء التجديدات.إعداد وإرسال التقارير إلى مدير الصيانة والإبلاغ عن المشكلات.,bayt,4485623,True
15,فني إلكترونيات وشكبات,القيام بالإجراءات الاولية لصيانة .إجراء الإصلاحات البسيطة للمعدات والأجهزة والادوات المختلفة.التحقق من لوحات التحكم والأسلاك الكهربائية لتحديد المشكلات.تجهيز وتثبيت الأجهزة والمعدات المختلفة.ترتيب وتنظيف مكان العمل بعد اجراء الصيانة.إجراء مهام الصيانة ومباشرة البلاغات.فحص المعدات والأنظمة واستكشافها ..التعاون مع العمال وغيرهم من المهنيين أثناء التجديدات.إعداد وإرسال التقارير إلى مدير الصيانة والإبلاغ عن المشكلات.,bayt,4485620,True
20,مندوب مبيعات,الترويج لحلول الأعمال المتطورة (أنظمة تخطيط موارد المؤسسات ERP، التطبيقات المالية Fintech، أنظمة إدارة علاقات العملاء CRM، برامج شؤون الموظفين والموارد البشرية، نقاط البيع، تطبيقات الهاتف المحمول) وتوليد فرص بيعيه مؤهلة للحلول المذكورة عن طريق (الاتصالات الهاتفية، البريد الإلكتروني، الزيارات الميدانية).اعداد العروض المالية للعملاء.تحديث جميع بيانات التواصل مع العملاء من خلال نظام إدارة علاقات العملاء CRM المستخدم في الشركة.تحديث توقعات الإقفال مع العملاء الجدد باستمرار.إعداد تقرير تحليلي للمبيعات الأسبوعية وعرض ردود أفعال العملاء لمدير المبيعات.القيام بالإجراءات أعلاه ضمن أهداف شهرية/ربع سنوية، تقاس بقيمة وعدد الاشتراكات الجديدة.المشاركة بالرأي كصوت العميل المحتمل مع قسم تطوير المنتجات عند اختبار واعتماد المميزات الجديدة وتطويرها.أي مهام أخرى ذات صلة بالأهداف أعلاه والتي قد تطلب من حين إلى حين.,bayt,4282526,True
21,جزار,قطع وطحن وإعداد اللحوم للبيع.تنظيف وصيانة الأدوات والمعدات وضمان شاشات العرض واللافتات دقيقة وجذابة.حفظ سجلات المخزون.الالتزام بضوابط سلامة الأغذية .تحية والتحدث إلى العملاء، وتقديم المشورة،تنسيق عمليات التسليم أو استلام الطلبات من متاجر مختلفة.,bayt,4485548,True
27,مدير عمليات التوصيل,مدير عمليات لديه خبرة في تطبيقات التوصيل - تخطيط واستراتيجية وتطوير وتنفيذ وقيادة وتقييم معايير خدمة العملاء في المنظمة وأداء العمليات.- قيادة الأنشطة اليومية لفريق دعم العملاء مع ضمان تحقيق مؤشرات الأداء الرئيسية والأهداف والغايات.- العمل كجزء من فريق القيادة والإبلاغ عن الأنشطة التجارية والتشغيلية الرئيسية المتعلقة بكيفية تحسين تجربة العملاء الكلية أثناء تقديم المقاييس الأساسية.- تطوير برامج جديدة لتحسين تجربة العملاء وتحسين كفاءة الإدارة.,bayt,4485563,True
30,محاسب عام,القيام بعمليات التسجيل الدفتري على النظام لجميع العمليات المالية العامة من خلال القيود اليومية والقيام بعمليات المطابقة الدفتريةلكشوف البنوك من خلال التسويات البنكية، متابعة عمل محاسبي الفروع من مراجعة الفواتير اليومية والتقارير ومطابقتها وإدخال ومراقبةعمليات البيع محاسبياً وجرد الصناديق لعملية الاستلام والتسليم وإقفال صناديق الفروع وإجراءات التسويات المحاسبية مع محاسبي الفروع،والرقابة على كل ما يتعلق بالنواحي المالية والمخزنيه، والقيام بعمليات حساب تكاليف الإنتاج والخدمات والعمليات في المصنع طبقاً للأصولالمحاسبية من خلال تحديد تكاليف الأنشطة بدقه كالإنتاج وشراء المواد الخام والمخزون والمبيعات، وإمساك وحفظ ومعالجة وتعديل وإصدارملفات وتقارير التكاليف، والمشاركة في إعداد الميزانية العمومية وتحديد الأرباح والخسائر من خلال القوائم الخاصة بذلك، والقيام بكافةالأعمال المالية الأخرى تنفيذاً للخطة المالية.إعداد واثبات قيود العمليات المحاسبية من دفتر اليومية العامة والأستاذ العام والترحيل إلى الدفاتر التحليلية ودفاتر الأستاذ المساعدة حسبالنظام المحاسبي الآلي للشركة، وإستخدام برنامج ) ERP .) القيام بعمليات القبض والصرف ومعالجتها آلياً والتأكد من أنها تتم وفق اً للإجراءات المالية المعتمدة . متابعة عمل محاسبي الفرروع ومراجعة الفواتير اليومية والتقارير ومطابقتها وإدخال ومراقبة عمليات البيع محاسبياً وجرد الصناديق لعمليةالاستلام والتسليم وإقفال صناديق الفروع وإجراءات التسويات المحاسبية مع محاسبي الفروع. إعداد التقارير الدورية عن حركة البيع والمردودات والتحويلات والتسديد من العملاء والإيداعات النقدية. إعداد وإصدار المطالبات الرسمية الخاصة بعملاء المصنع بشكل دوري ومتابعة التحصيل واستخراج بيان أرصدة العملاء المتراكمة والمتوقفةعن السداد ورفع تقرير بذلك. متابعة واستلام المستندات المحاسبية من الفروع والإدارات والأقسام الأخرى ومتابعتها والقيام بالإجراءات اللازمة. إصدار الشيكات الخاصة بالمصنع ومراجعة كشوفات البنوك والحسابات بشكل مستمر. إعداد كافة التسويات البنكية شهريا ومعالجة جميع المتعلقات الواردة بالتسوية مع مدير الحسابات. المراجعة والمطابقة بين أرصدة حسابات البنوك بالسجلات مع كشوف حسابات هذه البنوك وإجراء التسويات اللازمة. إعداد ومتابعة تصفية حساب أمناء العهد ومديري الفروع والمستودعات. متابعة ومراجعة مديونيات وسلف وعهد الموظفين وتصفية مستحقاتهم حسب النظام. المشاركة في إعداد الميزانية التقديرية ومتابعة تنفيذها. العمل على تنفيذ الجرود الدورية للموجودات الثابتة والأصناف المخزنية ومن كفاية المخصصات المخصصة لحماية أموال المصنع، والقيامبالجرد السنوي وحساب الإهلاك وقيمة الأصول الثابتة. العمل على تصميم وتطوير نظام التكاليف، مع العمل على متابعة مخرجات منظومة مبيعات الشركة لتوفير البيانات اللازمة لنظام التكاليف. إعداد التقارير الإدارية والمحاسبية الخاصة بالتكاليف وإجراء التحليل البياني والإحصائي والرسوم البيانية اللازمة.مراجعة حركة سندات التمويل من المستودعات إلى الفروع. التنسيق والمتابعة مع الدعم الفني والمشتريات للبضائع الموردة للمستودعات وإعداد ومعالجة الفروقات محاسبياً. العمل على إعداد الحسابات الختامية للمصنع والتأكد من إنجازها في الوقت المحدد لها وإطلاع المسئول المباشر عليها ومتابعة تعميدها. تجميع المعلومات المحاسبية وتحضير التقارير المالية الدورية عن نتائج أعمال المصنع والوضع المالي. حفظ وتنظيم وتصنيف البيانات والمستندات المالية حسب النظم والتعليمات المعمول بها. تجهيز وتحضير تقارير العمل بشكل أسبوعي وشهري والقيام بحصر النتائج في حال أن تطلب الأمر. احترام قواعد ولوائح المصنع في جميع الأوقات. كل ما يتم التكليف به من المسئول المباشر.,bayt,4255665,True
31,اخصائي عمليات,-,bayt,4474352,True
